danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,song_name
0.7108381345798458,0.3647798742138365,0.7272727272727273,0.4734682523124001,1.0,0.09659676864902031,0.725134560195224,0.0,0.20082815734989648,0.09705354314077519,0.3383462431491981,0.26562627498980007,0.75,Dark Trap,Pathology
0.8532449179258615,0.8679245283018869,0.4545454545454546,0.6436469851867307,1.0,0.06720522516328636,0.024951018797794263,0.002778523489932886,0.7267080745341615,0.0073925440912451235,0.9862700804792259,0.0826018534708865,0.75,Dark Trap,Symbiote
0.44667898684639634,0.7270440251572327,0.0,0.6487238333681062,1.0,0.13716053626675834,0.042853438890342176,0.0,0.19254658385093168,0.15091350723413244,0.7905652422871454,0.11879699248120298,0.5,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote)
0.7967170344602674,0.529559748427673,0.18181818181818182,0.44300716322414646,1.0,0.463733241663802,0.3924027120104949,0.0,0.3002070393374741,0.5902418417995565,0.545415075225109,0.11826805385556916,0.75,Dark Trap,Venom
0.6836612675290794,0.6389937106918239,0.7272727272727273,0.592043952986995,1.0,0.33997937435544867,0.07178664308031862,0.0,0.18840579710144909,0.2649699017847713,0.4828753547315367,0.12442589030716325,0.5,Dark Trap,T.R.U. (Totally Rotten Underground)
0.7706272420915318,0.6893081761006289,0.09090909090909091,0.806245218721747,1.0,0.3004468889652802,0.11102730126297417,0.0,0.10724637681159421,0.16569859541662257,0.9982884793264664,0.1430800839307571,0.75,Dark Trap,I Put My Dick in Your Mental
0.8684639634742909,0.2037735849056604,0.7272727272727273,0.265595660337993,1.0,0.07270539704365764,0.33815295415428914,0.0,0.19668737060041386,0.01658042031893548,0.8093793849851816,0.08602756892230576,0.75,Dark Trap,BRAINFOOD
0.7630177193173172,0.46918238993710704,0.9090909090909092,0.30287224424507975,0.0,0.40013750429700934,0.262203293155601,0.0017516778523489933,0.15693581780538302,0.16358643996198122,0.4950888165967167,0.07858162848982922,0.75,Dark Trap,Sacrifice
0.8141102293727581,0.4679245283018868,1.0,0.3062104457889979,1.0,0.06926778961842558,0.3110280752261862,0.1953020134228188,0.1821946169772257,0.270250290421375,0.3693298012244925,0.2195896718540537,0.75,Dark Trap,TakingOutTheTrash
0.8119360800086968,0.7672955974842767,0.9090909090909092,0.5880102927880939,0.0,0.12925403918872466,0.17847783353085672,0.10067114093959731,0.11345755693581783,0.33361495406061886,0.42005877059959856,0.20217258261933901,0.75,Dark Trap,Io sono qui
